"","y2015","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan",1678171.2964564,1762079.86133828,1850183.85436976,1942693.04715912,2039827.69943439,2141819.08444154,2248910.03867543,2361355.54066826,2479423.31765443,2603394.48365527,2733564.2078026,2870242.41809823,3013754.53919213,3164442.26606906,3322664.37931345,3488797.59840905
"Tanaman Hortikultura",519055.6801981,545008.4641981,572258.88743772,600871.831760081,630915.42347685,662461.194620978,695584.254302502,730363.466997817,766881.640347708,805225.722266043,845487.00854773,887761.358994926,932149.426815908,978756.898126989,1027694.74314229,1079079.48023998
"Perkebunan",128663.999794575,135097.199794575,141852.059717541,148944.662785588,156391.895842698,164211.490645104,172422.065254393,181043.168511977,190095.326875949,199600.093209475,209580.097931576,220059.102838426,231062.057903313,242615.160849835,254745.918882055,267483.214831294
"Peternakan",3112.44000242061,3268.06200181546,3431.46510196675,3603.03835694405,3783.19027527538,3972.34978940224,4170.96727838823,4379.51564267073,4598.49142480427,4828.41599556036,5069.83679570147,5323.32863584964,5589.49506655284,5868.96982096976,6162.41831201825,6470.53922755865
"Jasa Pertanian dan Perburuan ",148636.444769022,156068.266470959,163871.680271409,172065.263897496,180668.527420241,189701.953791253,199187.051301978,209146.403658432,219603.724228836,230583.910291246,242113.10562697,254218.761325608,266929.698974599,280276.183982942,294289.993539766,309004.49291869
"Kehutanan dan Penebangan Kayu",271202.630594342,284762.762594342,299000.89959538,313950.945233545,329648.492401166,346130.917303394,363437.462227998,381609.335245341,400689.802383835,420724.292973309,441760.506869522,463848.532965451,487040.960178063,511393.0072464,536962.65817306,563810.790141147
"Perikanan",47019.1399448618,49370.0969310773,51838.6017748742,54430.5318774025,57152.0584712726,60009.661370024,63010.144461959,66160.6516726508,69468.6842507696,72942.1184674434,76589.2243908156,80418.6856255193,84439.6199067953,88661.6008800798,93094.6809282192,97749.4149911716
"Pertambangan Minyak Gas dan Panas Bumi",465.639999999999,488.921999999999,513.368100068092,539.036505120134,565.988330356686,594.287746786972,624.002134145776,655.202240814155,687.962352884045,722.360470615795,758.478494039582,796.402418673468,836.222539607142,878.033666675047,921.935349940706,968.032117437741
"Pertambangan Bijih Logam",332.600012450888,349.230013488462,366.691513851613,385.026089129164,404.277394208166,424.491264956148,445.715828203956,468.001617954035,491.401699889311,515.971785506321,541.770373225276,568.858891575268,597.301836154031,627.166929414336,658.525276300082,691.451538558726
"Pertambangan dan Penggalian Lainnya",631.940002917176,663.537003208894,696.713853456854,731.549546129696,768.127023552868,806.533374526309,846.860043194281,889.203045499854,933.663197891534,980.346357698595,1029.36367517512,1080.83185896305,1134.87345205706,1191.61712468908,1251.19798121526,1313.75787983844
"Industri Batubara dan Pengilangan Migas",232.820000032275,244.461000032275,256.684050033889,269.518252537197,282.994165149533,297.143873397327,312.001067088172,327.601120449036,343.981176460191,361.180235288042,379.239247042762,398.201209409424,418.111269862144,439.016833364933,460.967675010588,484.016058791778
"Industri Makanan dan Minuman",21787.0799889297,22876.4339884684,24020.2556880763,25221.2684719728,26482.3318959404,27806.4484900455,29196.7709146862,30656.6094607434,32189.4399335038,33798.9119305019,35488.8575271192,37263.3004031523,39126.4654232638,41082.7886943808,43136.9281295612,45293.7745358547
"Pengolahan Tembakau",3112.44000699904,3268.06200699904,3431.46510769894,3603.03836448369,3783.19028305783,3972.34979931043,4170.96728717624,4379.5156504852,4598.49143580907,4828.41600829943,5069.83680451498,5323.32864824025,5589.49508030231,5868.96983536728,6162.41832573584,6470.53924412234
"Industri Tekstil dan Pakaian Jadi",9337.3200018361,9804.1860018361,10294.3953021115,10809.115067162,11349.570820667,11917.0493615902,12512.9018297431,13138.5469211752,13795.4742673441,14485.2479806379,15209.5103794678,15969.9858984412,16768.4851935285,17606.9094532417,18487.2549257385,19411.6176721356
"Industri Kulit Barang dari Kulit dan Alas Kaki",9337.32001441681,9804.18601201401,10294.3953123744,10809.1150815974,11349.5708354369,11917.0493755268,12512.9018457449,13138.5469375515,13795.4742827472,14485.2479952025,15209.510395203,15969.9859164048,16768.4852098222,17606.9094736773,18487.2549466403,19411.6176942126
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",3112.43999572406,3268.06199572406,3431.46509390678,3603.03834956421,3783.19026682862,3972.34978027695,4170.96726832871,4379.51563292103,4598.4914133912,4828.41598374006,5069.83678410295,5323.32862277361,5589.49505519507,5868.96980784793,6162.41829834722,6470.53921326458
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",9337.32000200629,9804.18600200629,10294.3953031097,10809.1150671618,11349.5708207205,11917.0493621578,12512.9018292625,13138.5469213275,13795.4742676949,14485.247980879,15209.5103802239,15969.9858981316,16768.4851929379,17606.9094543904,18487.2549258058,19411.617672999
"Industri Kimia Farmasi dan Obat Tradisional",15562.1999880197,16340.3099873541,17157.325486855,18015.1917608649,18915.9513495737,19861.7489163868,20854.8363622062,21897.5781806493,22992.4570901477,24142.0799442557,25349.1839414685,26616.6431385419,27947.4752952693,29344.8490600328,30812.0915134338,32352.6960886396
"Industri Karet Barang dari Karet dan Plastik",9337.31999615158,9804.18599615157,10294.395295446,10809.1150600259,11349.5708128348,11917.0493534124,12512.9018212113,13138.5469128491,13795.4742584274,14485.2479710281,15209.5103693871,15969.9858878564,16768.4851826341,17606.9094419582,18487.2549143768,19411.617660224
"Industri Barang Galian bukan Logam",21787.079976,22876.433972,24020.2556702001,25221.2684513101,26482.3318718756,27806.4484722693,29196.7708966828,30656.6094371169,32189.4399053728,33798.9119050414,35488.8575034935,37263.3003758682,39126.4653970616,41082.7886657147,43136.9280962004,45293.7744986104
"Industri Logam Dasar",9337.32000160778,9804.18600080389,10294.3953011656,10809.1150664651,11349.5708195472,11917.0493604441,12512.9018291899,13138.5469197651,13795.4742660749,14485.2479790571,15209.5103783315,15969.9858974892,16768.4851919617,17606.9094510775,18487.2549239529,19411.6176704721
"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",3112.43999949918,3268.06199949918,3431.46509949561,3603.038354406,3783.19027216565,3972.34978574173,4170.96727508606,4379.51563881174,4598.49142074517,4828.41599178243,5069.83679134293,5323.32863092439,5589.49506247776,5868.96981560881,6162.4183063964,6470.53922169118
"Industri Mesin dan Perlengkapan YTDL",9337.32000112728,9804.18600112728,10294.3953007327,10809.1150659948,11349.5708191818,11917.0493601409,12512.9018285707,13138.5469196047,13795.4742656695,14485.2479789811,15209.5103777893,15969.9858969324,16768.4851917226,17606.909451506,18487.254924025,19411.6176703108
"Industri Alat Angkutan",9337.32000815981,9804.18600851458,10294.3953089403,10809.1150741745,11349.5708279719,11917.0493693527,12512.9018378559,13138.546929926,13795.4742763691,14485.2479900989,15209.5103894974,15969.9859090964,16768.4852046754,17606.9094648382,18487.2549379382,19411.6176849948
"Industri Furnitur",3112.43999395338,3268.06199244172,3431.46509327313,3603.03834808796,3783.19026655051,3972.34977776172,4170.96726725447,4379.51563212885,4598.49141177014,4828.41598205631,5069.83678282195,5323.32862090489,5589.49505179897,5868.96980363309,6162.4182948729,6470.53920946538
"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",9337.32003742224,9804.18603742224,10294.3953361748,10809.1151023599,11349.5708584134,11917.0494057,12512.9018744258,13138.5469668996,13795.4743130617,14485.2480318333,15209.5104296827,15969.9859549091,16768.485251719,17606.9095136812,18487.2549931075,19411.6177412036
"Ketenagalistrikan",3112.44000533804,3268.06200578288,3431.46510593857,3603.03836110205,3783.1902792906,3972.34979321065,4170.96728293791,4379.51564708481,4598.4914295725,4828.41600111785,5069.83680121822,5323.32864107896,5589.49507326636,5868.96982675174,6162.4183180226,6470.53923425736
"Pengadaan Gas dan Produksi Es",3112.4399852593,3268.06198433801,3431.46508318639,3603.03833670081,3783.19025381223,3972.3497666871,4170.96725520572,4379.51561750536,4598.49139948618,4828.41596853919,5069.83676650551,5323.32860501504,5589.49503637135,5868.96978708436,6162.41827616219,6470.53919052308
"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",3112.43988917808,3268.06189841324,3431.46499148687,3603.03824567879,3783.1901505746,3972.34966087388,4170.96713837648,4379.51549714233,4598.49127477,4828.4158329674,5069.8366320039,5323.32844975135,5589.49487778002,5868.96963275121,6162.41810792416,6470.53901701443
"Konstruksi",3112.43999920425,3268.06199912467,3431.46509910478,3603.0383540998,3783.19027175705,3972.34978538469,4170.96727466586,4379.51563833549,4598.49142025227,4828.41599133252,5069.83679084742,5323.3286304256,5589.49506195484,5868.96981503269,6162.41830579626,6470.53922103037
"Perdagangan Mobil Sepeda Motor dan Reparasinya",3112.43999283389,3268.06199283389,3431.46509234529,3603.03834663683,3783.19026435955,3972.34977757752,4170.96726652154,4379.51562929388,4598.49141085629,4828.4159815294,5069.83678063844,5323.32861944235,5589.49505051219,5868.96980290751,6162.41829357405,6470.53920779673
"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",3112.44000043511,3268.06200043511,3431.46510044599,3603.03835541934,3783.1902732447,3972.34978691237,4170.96727627975,4379.51564009373,4598.49142207667,4828.41599314243,5069.83679278867,5323.32863249337,5589.49506405277,5868.96981732068,6162.41830811056,6470.53922354873
"Angkutan Rel",3112.43996598374,3268.06196598374,3431.46505861356,3603.03832174911,3783.190233868,3972.34973989203,4170.96722631969,4379.51558706874,4598.49136868992,4828.4159382583,5069.83674197446,5323.32857510462,5589.49499932435,5868.96974872363,6162.41823786063,6470.53914918672
"Angkutan Darat",3112.44000087611,3268.0620007666,3431.4651009473,3603.03835603847,3783.19027369802,3972.34978754719,4170.96727674933,4379.51564056489,4598.49142262599,4828.41599391061,5069.83679354043,5323.32863309699,5589.49506489421,5868.96981814987,6162.41830896975,6470.53922436348
"Angkutan Laut",3112.44024404664,3268.06224404664,3431.46532940384,3603.03860807636,3783.19056532531,3972.35008871064,4170.96759070571,4379.51593607447,4598.49175972332,4828.41634526902,5069.83713812781,5323.32901455793,5589.49545308349,5868.97024282093,6162.41875252151,6470.53968770712
"Angkutan Sungai Danau dan Penyeberangan",3112.36106130434,3267.98306130434,3431.37488434782,3602.94250086956,3783.09188130434,3972.25154999999,4170.86130826086,4379.40606521738,4598.37072999999,4828.29659652173,5069.71368173912,5323.19711043477,5589.35583826085,5868.82137478259,6162.25906043477,6470.37934347824
"Angkutan Udara",3533.44000869741,3710.1120094222,3895.61761076305,4090.39849057641,4294.91841525019,4509.66433557783,4735.14755221177,4971.90493040218,5220.50017706725,5481.52518599309,5755.60144536522,6043.38151777844,6345.55059272514,6662.82812315866,6995.96952873677,7345.76800488369
"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",6224.88013382961,6536.12414498207,6862.9303550193,7206.07687165501,7566.38071356489,7944.69975091601,8341.93473511607,8759.03147354474,9196.98304889485,9656.83219464811,10139.673815533,10646.65749683,11178.9903705563,11737.9398924298,12324.8368864937,12941.0787347218
"Penyediaan Akomodasi",6224.88004154764,6536.12404154764,6862.93024540564,7206.07675737915,7566.38059406103,7944.69962524793,8341.9346038394,8759.03133225076,9196.98290005037,9656.83204623997,10139.6736461778,10646.6573290802,11178.9901964246,11737.9397065426,12324.8366897923,12941.0785239852
"Penyediaan Makan Minum",6224.87999051339,6536.12399003906,6862.93018954101,7206.07669892319,7566.38053363219,7944.69956036123,8341.93453856902,8759.03126540261,9196.98282876761,9656.83197044315,10139.6735687281,10646.6572472594,11178.9901090532,11737.939614743,12324.8365955276,12941.0784254937
"Informasi dan Komunikasi",3112.43999108034,3268.06199083257,3431.46509034943,3603.03834471824,3783.19026180549,3972.34977499487,4170.96726399238,4379.51562716722,4598.4914084017,4828.41597894567,5069.83677774429,5323.32861668106,5589.49504726734,5868.96979968026,6162.41828968905,6470.53920437172
"Jasa Perantara Keuangan",3112.44000416553,3268.06200458208,3431.46510422801,3603.03835964769,3783.19027792166,3972.34979140119,4170.96728159608,4379.51564555092,4598.49142803674,4828.41599873044,5069.8367993751,5323.32863926055,5589.49507068205,5868.96982438278,6162.41831581019,6470.53923135077
"Asuransi dan Dana Pensiun",3112.43996782972,3268.06196461269,3431.46506413014,3603.03831444132,3783.19023305871,3972.3497398861,4170.96722527189,4379.51559232614,4598.49137001223,4828.41593561751,5069.83673722393,5323.32857408513,5589.49499925065,5868.96974792638,6162.41823660951,6470.53915230042
"Jasa Keuangan Lainnya",3112.440026109,3268.06202393325,3431.46512882868,3603.03838222407,3783.1903028583,3972.34981800121,4170.9673078134,4379.51567581497,4598.49145851784,4828.41603079101,5069.83683298328,5323.32867202155,5589.49510518747,5868.96986305775,6162.41835512276,6470.5392754898
"Jasa Penunjang Keuangan",3112.44003651492,3268.06205477238,3431.46514655652,3603.03841483882,3783.19031549756,3972.3498257952,4170.96732073645,4379.51570503073,4598.49147202481,4828.41605475478,5069.83684836379,5323.32870721369,5589.49514987736,5868.96989276526,6162.41838375203,6470.53929928814
"Real Estate",3112.43998047324,3268.06198047324,3431.46507917146,3603.03833272322,3783.19024919666,3972.34976165649,4170.96725006477,4379.51561199847,4598.49139357474,4828.41596268394,5069.83676032997,5323.32859916008,5589.49502871128,5868.96978039093,6162.41826941047,6470.53918296236
"Jasa Perusahaan",3112.44,3268.062,3431.46510015657,3603.03835641691,3783.1902731418,3972.3497863292,4170.9672750194,4379.51564158853,4598.49142335483,4828.41599186098,5069.83679286311,5323.32863328908,5589.49506526666,5868.96981712092,6162.41830891635,6470.53922436217
"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",12164.9000144646,12773.1450165309,13411.8022666343,14082.3923800693,14786.5119979363,15525.8375975231,16302.1294783291,17117.2359526589,17973.097749052,18871.7526368145,19815.3402695851,20806.1072830644,21846.4126469077,22938.7332790464,24085.669943102,25289.9534412903
"Jasa Pendidikan",6224.88000372848,6536.12400326242,6862.93020361197,7206.07671402559,7566.38054954045,7944.6995772505,8341.93455578679,8759.03128385576,9196.98284758249,9656.83198996161,10139.6735893665,10646.6572694873,11178.9901323092,11737.9396392975,12324.8366212157,12941.0784519969
"Jasa Kesehatan dan Kegiatan Sosial",6224.87999213159,6536.12399082019,6862.93019075462,7206.07669924323,7566.3805355168,7944.69956111237,8341.93453877457,8759.03126741812,9196.98282987105,9656.83197175802,10139.6735695591,10646.6572481682,11178.9901112323,11737.9396157448,12324.8365961386,12941.0784273881
"Jasa lainnya",3112.44000128532,3268.06200128532,3431.46510102826,3603.0383565938,3783.19027413429,3972.34978800167,4170.96727743388,4379.51564108065,4598.49142294188,4828.41599421751,5069.83679428185,5323.32863399594,5589.49506521374,5868.96981841016,6162.41830971627,6470.53922507355
"Lainnya",174600.833593217,183330.884593217,192497.438143217,202122.303836818,212228.40970832,222839.802232719,233981.832732491,245680.908835217,257964.92942274,270863.222495573,284406.358766114,298626.648743402,313558.018461929,329235.885210448,345697.716752327,362982.596376384
"sektor lainnya",519824.273282979,358761.423688419,189645.443649165,12073.6727546146,-174376.686738594,-370149.548455052,-575711.112375775,-791550.703863513,-1018182.25922053,-1256145.47644247,-1506006.77692182,-1768361.13668448,-2043833.27979151,-2333078.95640884,-2636786.9890812,-2955680.38851197
